Sentence,Sentiment,cleaned_Sentence,Encoded_Sentiment,Sentiment_Polarity_Cleaned,Sentiment_Label_Cleaned,Sentiment_Label_Encoded
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,geosolutions technology leverage benefon gps solutions providing location based search technology communities platform location relevant multimedia content new powerful commercial model,2,0.2090909090909091,positive,2
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,esi lows bk real possibility,0,0.2,positive,2
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre tax profit from a pre tax loss of EUR7m .",positive,last quarter componenta net sales doubled eurm eurm period year earlier moved zero pre tax profit pre tax loss eurm,2,0.0,neutral,1
"According to the Finnish Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,according finnish russian chamber commerce major construction companies finland operating russia,1,0.03125,positive,2
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,swedish buyout firm sold remaining percent stake almost eighteen months taking company public finland,1,-0.1,negative,0
$SPY wouldn't be surprised to see a green close,positive,spy wouldnt surprised see green close,2,-0.05,negative,0
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,shells billion bg deal meets shareholder skepticism,0,0.0,neutral,1
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh communications security corp stock exchange release october pm company updates full year outlook estimates results remain loss full year,0,0.35,positive,2
Kone 's net sales rose by some 14 % year on year in the first nine months of 2008 .,positive,kone net sales rose year year first nine months,2,0.2833333333333333,positive,2
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,stockmann department store total floor space square metres stockmann investment project price tag eur million,1,0.0,neutral,1
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increased finland sweden,2,0.0,neutral,1
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,sap q disappoints software licenses real problem cloud growth trails msft orcl goog crm adbe,0,0.2,positive,2
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,subdivision made sales revenues last year eur million eur million operating profits eur million eur million,2,0.0,neutral,1
Viking Line has canceled some services .,neutral,viking line canceled services,1,0.0,neutral,1
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ahlstrom corporation stock exchange announcement total new shares ahlstrom corporation subscribed option rights company stock option programs ii,1,0.06818181818181818,positive,2
$FB gone green on day,positive,fb gone green day,2,-0.2,negative,0
$MSFT SQL Server revenue grew double digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,msft sql server revenue grew double digit sql server premium revenue growing,2,0.0,neutral,1
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,according lnnen tehtaat ceo matti karppinen company aims deliver fish products customers day earlier currently,1,0.0,neutral,1
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,company share quoted nasdaq omx helsinki rautaruukki oyj rtrks,1,0.0,neutral,1
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se listed nasdaq omx helsinki ltd,1,0.0,neutral,1
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,two contracts turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,1,0.0,neutral,1
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,aviva friends life top forecasts ahead billion pound merger,2,0.5,positive,2
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,stead based soft drink usual teho energy drink made fresh water,1,0.049999999999999996,positive,2
The company plans to increase the unit 's specialist staff to several dozen    depending on the market situation during 2010 .,neutral,company plans increase unit specialist staff several dozen depending market situation,1,0.0,neutral,1
The company closed last year with a turnover of about four million euros .,neutral,company closed last year turnover four million euros,1,-0.05,negative,0
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo steps drive get baxalta board talking,2,0.0,neutral,1
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,costco premier retail dividend play cost,2,0.0,neutral,1
"The five storey , eco efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,five storey eco efficient building gross floor area sq also include apartments,1,0.0,neutral,1
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozens design awards,1,0.19444444444444442,positive,2
All are welcome .,neutral,welcome,1,0.8,positive,2
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,stockmann swedish sector company ab lindex entered agreement september whereby stockmann wholly owned subsidiary make public tender offer lindex issued shares,2,0.0,neutral,1
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki oyj stock exchange release huhtamaki capital markets day institutional investors analysts held espoo september starting pm finnish time,1,0.0,neutral,1
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,pleased welcome tapeks noma cramo group,2,0.65,positive,2
  Profit before taxes was EUR 105.9 82.7 million .,neutral,profit taxes eur million,1,0.0,neutral,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,royal dutch shell buy bg group nearly billion,2,0.1,positive,2
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,financialwire tm press release service receives compensation news opinions distributions,1,0.0,neutral,1
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7   19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupthing bank gave neutral recommendation share price target crowns euro swedish lock maker assa abloy ab,1,0.0,neutral,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,item included restructuring costs eur year earlier eur diluted eps stood eur versus loss per share eur,2,0.0,neutral,1
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,bank posted net profit lt mn,1,0.0,neutral,1
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,aapl afternoon selloff usual brutal get ready lose ton money,0,-0.30833333333333335,negative,0
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,0,0.09464285714285714,positive,2
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,0,0.0,neutral,1
InterContinental Hotels first quarter global room revenue lags estimates,negative,intercontinental hotels first quarter global room revenue lags estimates,0,0.125,positive,2
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings related pension cover that was under competitive tendering in Finland .",positive,according finnish pension insurance company varma varma recipient two thirds revenue earnings related pension cover competitive tendering finland,2,0.0,neutral,1
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,portion million recorded part winnings prior patent dispute finnish phone maker nokia oyj,2,0.0,neutral,1
"L&G still paying price for dividend cut during crisis, chief says",negative,lg still paying price dividend cut crisis chief says,0,0.0,neutral,1
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,volume investments two phases project estimated usd mn eur mn,1,0.0,neutral,1
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA   for 18 % .",neutral,russia accounted lagardere magazine division revenue eur mn usd mn usa,1,0.0,neutral,1
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,company also estimates already carried investments lead increase net sales reached eur million,2,0.0,neutral,1
Profit of the accounting period was EUR 0.3 mn .,neutral,profit accounting period eur mn,1,0.0,neutral,1
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,six breweries recorded percent growth domestic beer sales last year million liters million liters sold,2,0.0,neutral,1
"In August October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,august october company result taxes totalled eur mn eur mn corresponding period,2,0.0,neutral,1
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,systeemitiimi sales project resources also strengthened director paul skogberg said,2,0.0,neutral,1
Tesco share price jumps as Q3 sales top estimates,positive,tesco share price jumps q sales top estimates,2,0.5,positive,2
The fine print is here .,neutral,fine print,1,0.4166666666666667,positive,2
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,price logs clearly improved also price pulpwood gone,2,0.10000000000000002,positive,2
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978   734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,thus sysopen digia accordance chapter section finnish companies act obtained title shares sentera redeemed,1,0.0,neutral,1
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,diluted earnings per share eps fell eur eur,1,0.0,neutral,1
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,pm eastern time block contracts changed hands bid price,1,0.0,neutral,1
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,recent technology deliveries include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plants bhushan steel,1,0.0,neutral,1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,vips similar pattern like beginning may u sell nowwill go much higher drop,2,0.125,positive,2
The firm generated sales of 187 mln eur in 2005 .,neutral,firm generated sales mln eur,1,-0.2,negative,0
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,stora enso also meetings labor authorities employment economic development centres representatives government order find solutions,1,0.2,positive,2
AstraZeneca profit down as sales of stalwarts fade,negative,astrazeneca profit sales stalwarts fade,0,0.0,neutral,1
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,rt andrewnyquist chartology yahoo yhoo crazy looking chart nearing breakout resistance line,2,-0.6,negative,0
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,bullish stocks twitter dip yhoo gdx googl stz gold ew vz celg sbux scty,2,0.0,neutral,1
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January March 2009 .",negative,finnish geosentric net sales decreased eur january march,0,-0.2,negative,0
